[3.025.040]
TEMPRESA            Tabela de Empresas
TPRJLOTETI          Lotes de Produção com Controle de Etiquetas
TPRJETIQUE          Etiquetas Impressas do Projeto
TELYEXPE            Layout Etiqueta da Expedição
TDESCPRCFOP         CFOP's Desconto Duplicatas
TLOTRAST            Tabela de Rastreabilidade de MP
TSUIMPOS            Sugestão de Impostos
TAVINAO             Cad. Cliente Não Recebe Aviso
TAVISOS             Cad.Aviso de Cobrança Gerado
TCARTA              Cadastro de Carta de Aviso
TAVIPARAM           Parâmetros de Cobrança
TACOMPLOTE          Acompanhamento do Lote de Carga
TMOVCFOP            Movimentações CFOP's
TCOMIPROD           Relação Comissão X Produto
TMNDCADAS           Cadastro de Empresa
TMNDCONTA           Cadastro Contabilista
TMNDPCQUAL          Qualificação das Contas
TMNDTECNICO         Cadastro Técnico/Empresa
TBCOEXTOC           Tabela de Ocorrências
TBCOEXTLY           Layout Extrato Eletrônico
THISTNOT            Histórico da Nota
TOCORPROD           Ocorrências por Item
TCONTRATO           Contrato Parametrizável
TLAYOUTS            Layout de NF's
TACOMPANHA          Acompanhamento do Pedido
TCFOPTRAN           CFOP de Transferência
TASSHISTORICO       Histórico da Assistência
TCOTPARAM           Parametros de Cotação
TETREPORT           Layout de Etiquetas Parametrizadas
TTITPROR            Prorrogação de Titulos
TPARAMCAD           Cadastro de Parâmetros para Integração CAD
TPERDAS             Cadastro de Perdas de Produção
TRELITEM            Cadastro de Layout para Relatório de Itens
TEMPHIST            Histórico da Empresa
TRELEMP             Cadastro de Layout para Relatório de Empresas
TMEDIPRO            Medição das Inf. Técnicas
TCOMPNARR           Narrativa dos Itens dos Pedidos de Compra
TINSPPARAM          Parâmetro das Inspeções de Recebimento
THISTLOTE           Historico Lotes de Carga
TACOMPA2            Observação do Acompanhamento Setor
TVLRANPOS           Posição de Antecipação
TROTAJUST           Controle de Rotas Justificativas
TROTAPARAM          Parâmetros das Rotas
TROTA               Cadastro de Rotas
TVLRPEDIDO          LIGAR PEDIDO VENDA/COMPRA
TPARAMCUS           Parâmetros para Custos
TUMORREP            Temporário para Comissões no Orçamento
TCONTRO2            Controle de Rotas
TTIPOORC            Tipos de Orçamentos Padrões
TMULTIEMPRESA       Informações sobre diversas bases
TCOMNF              Comissão da NF de Venda
TLAYPDOC            Layout Pedido Orçamento
TTIPCONT            Contato
TGRMOTPER           Cadastro de Grupo de Motivos das Perdas
TMOTPERDA           Cadastro de Motivos das Perdas
TPERDENT            Cadastro de Perdas das Entradas
TBCOOFICI           Cadastro de Banco Oficial
TBCOCHRET           Retorno de Cheques
TRETCHEQ            Retorno de Cheques
TPASFAS2            Passagem de Fases
TREPORT3            Reporte de Produção
TOPECONS            Nat.Operação p/ Consignação
TEXPPAR2AM          Parâmetros Mercado Externo REserva
TOBSCOMP            Comunicação Interna de Compras
TFOCORR             Cadastro de Ocorrências
TFROCORR            Registros de Ocorrência
TITEMTIP            Cadastro de Tipo de Item
TITEGEN             Cadastro de Gênero do Item
TPROCQUA            Cadastro de Controle dos Processos de Produção
TAPDIPI             Tabela de Apuração Diferenciada de IPI
TCFOPDDIF           CFOP´s que devem ser excluídas da apuração diferenciada
TITESER             Cadastro de Serviço do Item
TITEGRU             Cadastro do Grupo de Serviço do Item
TEFDC112            C112 - Dados de Documentos de Arrecadação Referenciado
TEFDE220            Ajuste/Benefício/Incentivo Apuração do ICMS Substituído
TEFDE230            Informações Adicionais dos Ajustes da Apuração do ICMS Substituído
TPARAMSPED          Cadastro de Parâmetros do SPED
TPARAORES           Parâmetros Orçamento Especial
TORESTEX            Textos Padrão Orçamento Especial
TECDJ100            Balanço Patrimonial
TECDJ150            Demonstrações do Resultado do Exercício
TPERDCOMP           Tabela de Compensação de Tributos
TOPECOMPTRI         Tabela de Compensação de Tributos
TPERDDCOMP          Tabela de Compensação de Tributos
TMN2PCQUAL          Qualificação das Contas V1.0.0.2
TDESMOTIVOS         Motivos das Revisões de Desenhos ou Documentos
TPARSUF             Parâmetros Lote SUFRAMA
TTIPOCOMP           Tipo de Pedido de Compra
TCORREIO            Controle Envio de Correspondências
TTIPCORR            Tipo de Correspondências
TLYCORR             Layout Correspondências Cfme Correios
TCHEREM             Arquivo Remessa Cheques em Depósito / Custódia
TPARCHE             Parâmetros Cheques em Custódia
TCOMOBSSIT          Observação da Situação Pedido de Compra
TES08028C           Parâmetros de Gera Magnético
TCONFPARAM          Parâmetros Configurador Produto / Projetos
TDEPOSI1            DEPOSI1
TADIPICFOP          CFOP de devolução que lança em Dados Adicionais
TCOMICDES           Configuração de Comissões Cfe Desconto
TETIMANUAL          Cadastro de Etiquetas Manuais
TESPEMAN            Cadastro de Especialidades
TPRIOMAN            Prioridades de Manutenção
TSOLUMAN            Cadastro de Solução de Manutenção
TTIPOMAN            Tipos de Manutenção
TMANPARAM           Parâmetros de Manutenção
TTECESMA            Cadastro Técnicos x Especialidades
TORDEMAN            Ordens de Manutenção
TMOTIVO             Tabela de Motivos de Devolução de Cheques
TUMALTIT            Desdobramento de Títulos - Entradas
THISCUSTO           Histórico de Alterações de Custos dos Produtos
TEFDG140            Identificação do item do documento fiscal
TEFDG130            Identificação do Documento Fiscal
TEFDG125            Movimentação do bem ou componente do AI
TEFDG110            CIAP
TINFPEMP            Informações de Parâmetros das Empresas
TDESPESA            Cadastro de Despesas
TDIMOREST           Dimensões Estrutura Orçamento Especial - vários Produtos
TOREPROC            Processos Itens Orçamento Especial - vários Produtos
TORESTRUT           Estrutura Item Orçamento
TPREORCESP          Previsões Pagamento Orçamento Especial - vários Produtos
TORCESPE            Cadastro de Orçamento Especial - vários Produtos
TSUGCFOP            Tabela de Sugestões de CFOP para os Itens
TFLOATING           Dias de Floating por Praça de Pagamento
TCFPCARAC           Cadastro de Características
TCFPCONFIG          Cadastro de Configurações
TCFPENTRADA         Cadastro de Entradas
TCFPFORMULA         Cadastro de Fórmulas
TCFPMODELO          Cadastro de Modelos
TCFPTPPROD          Cadastro de Tipo de Produto
TSUBAPLICA          Subgrupos com Características de Aplicação Direta
TGRUCOMTP           Grupos Comerciais de Tabelas de Preços
TLYPCORT            Cadastro Layout Exportação Plano de Corte
TDEFMREG            Cadastro de Definições Medidas das Regras dos Acabamentos
TDEFPREG            Cadastro de Definições Perímetro das Regras dos Acabamentos
TACABREGRA          Cadastro de Regras de Acabamentos
TREGPROFUN          Registra Produtividade por Funcionário
TPARPISPLC          Contas Contábeis para Apuração de PIS/COFINS/CSLL
TAPPIS03            Apuração PIS/COFINS/CSLL - Não Cumulativo
TAPPIS04            Apuração PIS/COFINS/CSLL - Não Cumulativo/Cumulativo (Devedor)
TAPPIS05            Apuração PIS/COFINS/CSLL - Não Cumulativo (Credor)
TPROCALT            Processo Alternativo
TCALINST            CFOPs p/Cálculo Independente de ICMS-ST
TRESPROR            Reserva Processos Ordens
THAPCMAQ            Cadastro de Horas Adicionais Plano de Carga Máquina
TBALDCOM            Composição do Demonstrativo
TPROEMB             Produtos Embalagens
TREMACAB            Cadastro de Regras de Markup em Acabamentos
TPRJVFORM           Fórmulas e Observações para Volumes das Embalagens da Expedição
TPRJVOLUM           Projeto dos Volumes das Embalagens da Expedição
TELYEXPV            Layout Etiqueta de Volumes da Expedição
TPARBOLETO          Parâmetros da Emissão de Boletos
TESPECIE            Espécies de Documentos
TPRIOPREVP          Controle de Prioridades das Previsões de Entrega do Pedido
TCFPEXCECAO         Cadastro de Exceções
TGARMOVI            Cadastro de Movimentos de Garantias
TGARPARA            Cadastro de Parâmetros de Movimentos de Garantias
TGARTIPO            Cadastro de Tipos de Movimentos de Garantias
TCAMOHIST           Observação de Montagem
TCAMONTAGEM         Controle de Atendimento / Montagem
TCCMONT             Controle do Coordenador da Montagem
TCEMONT             Controle da Equipe de Montagem
TCMONTADOR          Controle de Montadores
TCSMONT             Controle da Situação da Montagem
TVEIEMP             Veículos da Empresa
TREDUCAOZ           Cadastro de Redução Z
TLYXMLCON           Condição de Informação Layout XML Promob
TLYXMLPRO           Layout XML Importação Promob
TCFOPCOM            Cadastro da Relação CFOP x Condição de Pagamento
TPARAMITER          Cadastro Parâmetros Integração
TTOQCOM             Cadastro da Relação de Transação de Estoque Fabril x Comerx
TPOSAEMP            Posição de Saldos por Empresa
TDIME25             Cadastro de Registro Tipo 25 da DIME
TDIME26             Cadastro de Registro Tipo 26 da DIME
TDIME28             Cadastro de Registro Tipo 28 da DIME
TDIME29             Cadastro de Registro Tipo 29 da DIME
TDIME30             Cadastro de Registro Tipo 30 da DIME
TDIME31             Cadastro de Registro Tipo 31 da DIME
TDIME32             Cadastro de Registro Tipo 32 da DIME
TDIME33             Cadastro de Registro Tipo 33 da DIME
TDIME41             Cadastro de Registro Tipo 41 da DIME
TDIME42             Cadastro de Registro Tipo 42 da DIME
TDIME43             Cadastro de Registro Tipo 43 da DIME
TDIME44             Cadastro de Registro Tipo 44 da DIME
TDIME45             Cadastro de Registro Tipo 45 da DIME
TDIME46             Tabela de Registro Tipo 46 da DIME
TDIME47             Cadastro do Registro Tipo 47 da DIME
TDIME48             Cadastro do Registro Tipo 48 da DIME
TDIME51             Cadastro de Registro Tipo 51 da DIME
TDIME80             Cadastro de Registro Tipo 80 da DIME
TDIME81             Cadastro de Registro Tipo 81 da DIME
TDIME82             Cadastro de Registro Tipo 82 da DIME
TDIME83             Cadastro de Registro Tipo 83 da DIME
TDIME84             Cadastro de Registro Tipo 84 da DIME
TDIME90             Cadastro de Registro Tipo 90 da DIME
TDIME91             Cadastro de Registro Tipo 91 da DIME
TDIME92             Cadastro de Registro Tipo 92 da DIME
TDIME93             Cadastro de Registro Tipo 93 da DIME
TDIME94             Cadastro de Registro Tipo 94 da DIME
TDIMDADCON          Tabela de Dados dos Contribuintes DIME
TCFOPEST            CFOP´S de Estorno
TCCE                Carta de Correção Eletrônica
TPARLOGIN           Parâmetros Login / Acesso
TAPURCAI            Detalhamento de Apuração de PIS/COFINS/CSLL do Tipo Cumulativo por Regime de Caixa
TAPPIS25            Devoluções de Venda
TCONFIGMOV          Configurador de Produtos
TLINCONF            Cadastro de Linhas Produtos Configurador
TGIACABECALHO       Dados do Cabeçalho da GIA ICMS/PR
TGIACFOP            CFOP para Geração da GIA ICMS/PR
TGIADADCON          Dados dos Contribuintes para Geração da GIA ICMS/PR
TGIAVALOR           Valores para Geração da GIA ICMS/PR
TCONVERSAO          Conversão de Unidades de Medida
TDFCCFOP            CFOP's para Geração da DFC/GI - ICMS/PR
TDFCDADCON          Dados dos Contribuintes para Geração da DFC/GI - ICMS/PR
TDFCVALOR           Valores para Geração da DFC/GI - ICMS/PR
TCFOPTIT            Cadastro de CFOP's que Somam ICMS-ST nos Títulos
TPRAINSP            Instrumentos Processos Alternativos
TDRE                Estrutura DRE J150
TPGELREM            Layout Arquivo Remessa dos Pagamentos Eletrônicos
TPGELRET            Layout Arquivo Retorno dos Pagamentos Eletrônicos
TPGETITULOS         Títulos em Pagamento Eletrônico
TDEVSIMP            CFOPs com Destaque de ICMS no Simples
TLOGSEMAIL          Envio de Informações para a Lógica
TGCONTABIL          Grupo/Subgrupo x C. Contábil
TCFOPRETISS         Cadastro de CFOP's para Retenção de ISSQN
TDIPJCFOP           Cadastro de CFOP para Geração da DIPJ
TNARRMON            Narrativa dos Produtos para Atendimento / Montagem
TBLOQNF             NFs Bloqueadas
TDOCSIMPLES         Crédito ICMS - Simples Nacional
TPARMONTA           Parâmetros de Controle de Atendimento / Montagem
TSUBFASE            Substituições de Fases de Produção
TDUDCFOP            CFOP's Desconto Duplicatas
TUCUSREP            Usuários
TCTRIB              Cadastro de Carga Tributária
TORENATUR           Cadastro de Naturezas do Orçamento Especial
TOREPARES           Cadastro Parâmetros Orçamento Especial Simplificado
TORESIMP            Orçamento Especial Simplificado
TFCI                Ficha de Controle de Importação
TCTBREGRAS          Regras Balancetes / Balanços - Multiempresa
TCOMJUS             Justificativa do Pedido de Compra
TJUSCOM             Justificativas de Compras
TFCIPROD            Cadastro de FCI - Ficha de Controle de Importação
TORIMERC            Cadastro de Origem da Mercadoria
TCTBCADREG          Regras Balancetes / Balanços - Multiempresa
TPARCADITE          Itens não Importados Integração CAD
TCFOPSUF            Cadastro de CFOPs para Cálculo Suframa
TTRAVEICULO         Cadastro de Veículo
TBLOQPED            Bloqueia Alteração no Pedido
TMDF                Cadastro do MDF-e
TMDFEVECANC         Cancelamento do MDF-e
TMDFEVEENC          Encerramento do MDF-e
TMDFEVEINC          Inclusão de Motorista no MDF-e
TCUSREM             Tabela de CFOP's para Definição do Custo de Remessa
TDAPICABECALHO      Dados do Cabeçalho da DAPI/MG
TDAPICFOP           CFOPs para Geração da DAPI/MG
TDAPIDADCON         Dados dos Contribuintes para Geração da DAPI/MG
TDAPIVALOR          Valores para Geração da DAPI/MG
TREGNOTIFI          Cadastro de Registro de Notificações do Sistema
TPAREMAIL           Parâmetros de E-mail
TDEVIPI             Devolução Referente a IPI
TDOCEXTE            Cadastro de Documento no Exterior para Exportação e Importação
TTOQEXTE            Cadastro de Movimento do Item no Exterior para Exportação e Importação
TGSP16SUBST         IE Substituto para Geração da GIA ICMS/SP
TGSP17SUBST         IE Substituído para Geração da GIA ICMS/SP
TGSPCABECALHO       Dados do Cabeçalho da GIA ICMS/SP
TGSPCFOP            CFOPs para Geração da GIA ICMS/SP
TGSPDADCON          Dados dos Contribuintes para Geração da GIA ICMS/SP
TGSPDETPAG          Detalhes dos Pagamentos para Geração da GIA ICMS/SP
TGSPVALOR           Valores para Geração da GIA ICMS/SP
TGSPZFMALC          Zona Franca de Manaus para Geração da GIA ICMS/SP
TGSPEXPORTA         Registro de Exportação para Geração da GIA ICMS/SP
TUSEREXE            Identificação de Executável do Usuário
TFEXPERIE           Cadastro de Experiências / Habilidades
TFREGTRE            Registro de Treinamentos / Capacitações
TFTREINA            Cadastro de Treinamentos / Capacitações
TQLCONTROL          Cadastro de Controle de Documentos
TQLDOCUMEN          Cadastro de Documento
TQLGRUPO            Grupo / Subgrupo de Documentos
TQLMOTIVO           Cadastro de Motivos Alterações / Atualizações
TVLRLA31            Lançamentos de Transferência de Antecipação de Cliente
TVLRLA41            Lançamentos de Transferência de Antecipação a Fornecedor
TDIMPROASS          Dimensões Produtos Genéricos com Assistências
TQLACAOCON          Ações Corretivas / Preventivas
TQLCACONF           Causa de Não Conformidade
TQLNAOCONF          Não Conformidade Padrão
TQLREGNAO           Registro de Não Conformidade
TTOQIMP             Cadastro de Movimento do Item de Importação
TPARCFOP            Parametrização de CFOP por Rotina
TREDEPORE           Relação de Depósitos Ordens de Produção e Reservas
TVEN2DEDOR          Percentuais Comissão Cfe Representante
TECFCFOP            Cadastro de CFOPs para Apuração do IRPJ e CSLL
TPARCATEMP          Cadastro de Templates por Grupo / Subgrupo Integração CAD
TLOGUSDEPO          Configuração de Depósitos Multiempresa por Usuário
TUMITECONJ          Temporário para Inclusão de Conjuntos de Itens
TECFN620            Cálculo do IRPJ Mensal por Estimativa
